Interval=	0.0005 s
ExcelDateTime=	4.5061542499698298e+004	5/15/2023 13:01:11.973933
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	10.000 mV
15.2045	0.298
15.205	0.237
15.2055	0.185
15.206	0.146
15.2065	0.115
15.207	0.093
15.2075	0.076
15.208	0.063
15.2085	0.051
15.209	0.042
15.2095	0.035
15.21	0.030
15.2105	0.030
15.211	0.040
15.2115	0.062
15.212	0.099
15.2125	0.146
15.213	0.196
15.2135	0.242
15.214	0.283
15.2145	0.322
15.215	0.354
15.2155	0.380
15.216	0.402
15.2165	0.419
15.217	0.429
15.2175	0.433
15.218	0.430
15.2185	0.417
15.219	0.394
15.2195	0.364
15.22	0.332
15.2205	0.308
15.221	0.293
15.2215	0.281
15.222	0.270
15.2225	0.261
15.223	0.253
15.2235	0.240
15.224	0.219
15.2245	0.186
15.225	0.131
15.2255	0.070
15.226	0.013
15.2265	-0.036
15.227	-0.063
15.2275	-0.077
15.228	-0.087
15.2285	-0.095
15.229	-0.095
15.2295	-0.083
15.23	-0.062
15.2305	-0.030
15.231	0.011
15.2315	0.058
15.232	0.108
15.2325	0.158
15.233	0.206
15.2335	0.255
15.234	0.305
15.2345	0.353
15.235	0.394
15.2355	0.423
15.236	0.439
15.2365	0.438
15.237	0.424
15.2375	0.400
15.238	0.369
15.2385	0.331
15.239	0.288
15.2395	0.244
15.24	0.203
15.2405	0.171
15.241	0.149
15.2415	0.135
15.242	0.131
15.2425	0.134
15.243	0.137
15.2435	0.131
15.244	0.121
15.2445	0.113
15.245	0.101
15.2455	0.093
15.246	0.093
15.2465	0.095
15.247	0.099
15.2475	0.104
15.248	0.113
15.2485	0.125
15.249	0.143
15.2495	0.170
15.25	0.200
15.2505	0.227
15.251	0.249
15.2515	0.267
15.252	0.280
15.2525	0.289
15.253	0.292
15.2535	0.290
15.254	0.286
15.2545	0.282
15.255	0.272
15.2555	0.252
15.256	0.214
15.2565	0.148
15.257	0.042
15.2575	-0.113
15.258	-0.324
15.2585	-0.579
15.259	-0.844
15.2595	-1.071
15.26	-1.213
15.2605	-1.231
15.261	-1.108
15.2615	-0.867
15.262	-0.564
15.2625	-0.258
15.263	0.008
15.2635	0.199
15.264	0.307
15.2645	0.339
15.265	0.309
15.2655	0.258
15.266	0.201
15.2665	0.151
15.267	0.122
15.2675	0.105
15.268	0.097
15.2685	0.095
15.269	0.102
15.2695	0.114
15.27	0.124
15.2705	0.135
15.271	0.152
15.2715	0.174
15.272	0.190
15.2725	0.192
15.273	0.177
15.2735	0.145
15.274	0.099
15.2745	0.050
15.275	0.007
15.2755	-0.025
15.276	-0.045
15.2765	-0.056
15.277	-0.059
15.2775	-0.056
15.278	-0.046
15.2785	-0.029
15.279	-0.006
15.2795	0.021
15.28	0.050
15.2805	0.081
15.281	0.118
15.2815	0.157
15.282	0.196
15.2825	0.229
15.283	0.257
15.2835	0.275
15.284	0.288
15.2845	0.296
15.285	0.300
15.2855	0.314
15.286	0.330
15.2865	0.343
15.287	0.360
15.2875	0.384
15.288	0.408
15.2885	0.420
15.289	0.411
15.2895	0.385
15.29	0.354
15.2905	0.326
15.291	0.300
15.2915	0.275
15.292	0.249
15.2925	0.221
15.293	0.189
15.2935	0.158
15.294	0.132
15.2945	0.114
15.295	0.104
15.2955	0.093
15.296	0.080
15.2965	0.070
15.297	0.069
15.2975	0.077
15.298	0.084
15.2985	0.088
15.299	0.089
15.2995	0.090
15.3	0.094
15.3005	0.099
15.301	0.110
15.3015	0.123
15.302	0.136
15.3025	0.146
15.303	0.151
15.3035	0.149
15.304	0.144
15.3045	0.130
15.305	0.094
15.3055	0.056
15.306	0.024
15.3065	-0.000
15.307	-0.015
15.3075	-0.025
15.308	-0.037
15.3085	-0.048
15.309	-0.054
15.3095	-0.067
15.31	-0.095
15.3105	-0.132
15.311	-0.171
15.3115	-0.203
15.312	-0.220
15.3125	-0.222
15.313	-0.210
15.3135	-0.188
15.314	-0.161
15.3145	-0.137
15.315	-0.118
15.3155	-0.098
15.316	-0.074
15.3165	-0.044
15.317	-0.009
15.3175	0.024
15.318	0.047
15.3185	0.066
15.319	0.084
15.3195	0.106
15.32	0.136
15.3205	0.167
15.321	0.185
15.3215	0.184
15.322	0.169
15.3225	0.145
15.323	0.118
15.3235	0.093
15.324	0.072
15.3245	0.047
15.325	0.012
15.3255	-0.018
15.326	-0.051
15.3265	-0.088
15.327	-0.122
15.3275	-0.152
15.328	-0.177
15.3285	-0.200
15.329	-0.231
15.3295	-0.267
15.33	-0.298
15.3305	-0.317
15.331	-0.320
15.3315	-0.308
15.332	-0.279
15.3325	-0.233
15.333	-0.172
15.3335	-0.098
15.334	-0.020
15.3345	0.044
15.335	0.076
15.3355	0.067
15.336	0.009
15.3365	-0.106
15.337	-0.286
15.3375	-0.517
15.338	-0.756
15.3385	-0.954
15.339	-1.068
15.3395	-1.063
15.34	-0.925
15.3405	-0.680
15.341	-0.377
15.3415	-0.081
15.342	0.151
15.3425	0.291
15.343	0.341
15.3435	0.318
15.344	0.250
15.3445	0.152
15.345	0.033
15.3455	-0.073
15.346	-0.161
15.3465	-0.232
15.347	-0.278
15.3475	-0.310
15.348	-0.342
15.3485	-0.383
15.349	-0.428
15.3495	-0.465
15.35	-0.484
15.3505	-0.483
15.351	-0.469
15.3515	-0.452
15.352	-0.434
15.3525	-0.412
15.353	-0.381
15.3535	-0.339
15.354	-0.288
15.3545	-0.238
15.355	-0.195
15.3555	-0.158
15.356	-0.122
15.3565	-0.088
15.357	-0.060
15.3575	-0.041
15.358	-0.026
15.3585	-0.013
15.359	0.001
15.3595	0.019
15.36	0.045
